,loss,MAE,RMSE,MAPE,MSLE,val_loss,val_MAE,val_RMSE,val_MAPE,val_MSLE
23,16074.626953125,630.2865600585938,892.6739501953125,16074.626953125,4.829087257385254,27681.234375,633.1450805664062,888.127197265625,27681.234375,4.81760311126709
24,36705.56640625,629.978515625,891.9152221679688,36705.56640625,4.86179256439209,38924.23046875,632.8360595703125,887.4014892578125,38924.23046875,4.82730770111084
25,23800.26953125,627.9010009765625,889.8635864257812,23800.26953125,4.742541790008545,36879.796875,629.8584594726562,884.5614624023438,36879.796875,4.675215721130371
26,38928.12890625,626.9694213867188,888.9092407226562,38928.12890625,4.720166206359863,9662.423828125,628.0823974609375,882.8001098632812,9662.423828125,4.586676597595215
27,23808.8359375,624.6380004882812,886.645263671875,23808.8359375,4.592635154724121,6116.90673828125,627.7879638671875,882.2337036132812,6116.90673828125,4.587413787841797
28,18256.8359375,625.2740478515625,887.1716918945312,18256.8359375,4.635273456573486,5659.8515625,626.1832275390625,880.70703125,5659.8515625,4.502310276031494
29,15810.625,622.3046264648438,884.2553100585938,15810.625,4.484835624694824,9911.1337890625,623.7323608398438,878.3828735351562,9911.1337890625,4.384693145751953
30,25832.193359375,621.3355102539062,883.3103637695312,25832.193359375,4.443467617034912,1525.4927978515625,623.09521484375,877.4899291992188,1525.4927978515625,4.358093738555908
31,20463.083984375,621.3023681640625,883.1603393554688,20463.083984375,4.437007904052734,21833.951171875,621.240478515625,875.5745849609375,21833.951171875,4.2628278732299805
32,24760.408203125,618.6475219726562,880.6097412109375,24760.408203125,4.299806594848633,61729.1171875,621.1599731445312,875.235595703125,61729.1171875,4.270549297332764
33,21658.59765625,619.5156860351562,881.0603637695312,21658.59765625,4.3558430671691895,71502.09375,619.8222045898438,873.9069213867188,71502.09375,4.195991039276123
34,25709.259765625,616.6277465820312,878.3554077148438,25709.259765625,4.19580078125,11326.3359375,617.4218139648438,871.5784301757812,11326.3359375,4.081943988800049
35,19169.83203125,615.4120483398438,877.1838989257812,19169.83203125,4.150681972503662,2831.682861328125,616.6686401367188,870.6376342773438,2831.682861328125,4.064047813415527
36,24748.40625,615.2021484375,876.8297729492188,24748.40625,4.161521911621094,56732.90625,615.4489135742188,869.4087524414062,56732.90625,4.011847019195557
37,24732.330078125,612.6790771484375,874.3334350585938,24732.330078125,4.027482032775879,27992.048828125,615.0028686523438,868.7109375,27992.048828125,3.998687982559204
38,28278.16015625,612.122314453125,873.715576171875,28278.16015625,4.028466701507568,7033.3291015625,612.0970458984375,866.0072021484375,7033.3291015625,3.857271194458008
39,15064.0615234375,609.4550170898438,871.0449829101562,15064.0615234375,3.8882288932800293,6992.3740234375,612.2042236328125,865.8198852539062,6992.3740234375,3.865431070327759
40,26009.94140625,607.9212036132812,869.6305541992188,26009.94140625,3.8125967979431152,5555.27001953125,611.3704833984375,864.9774169921875,5555.27001953125,3.8243441581726074
41,24700.765625,609.009765625,870.605224609375,24700.765625,3.8648874759674072,457.3435363769531,607.588623046875,861.625,457.3435363769531,3.6684021949768066
42,12130.029296875,606.0607299804688,867.6954956054688,12130.029296875,3.75113844871521,72074.5,604.7376098632812,858.83251953125,72074.5,3.5615038871765137
43,19256.5625,602.993896484375,864.8278198242188,19256.5625,3.619250535964966,26423.189453125,607.4881591796875,860.9598999023438,26423.189453125,3.664919137954712
44,16448.255859375,604.0,865.6546630859375,16448.255859375,3.6450841426849365,2365.641357421875,603.4361572265625,857.4091796875,2365.641357421875,3.4877424240112305
45,15935.115234375,602.0106811523438,863.7732543945312,15935.115234375,3.5618743896484375,43370.63671875,602.5543823242188,856.4632568359375,43370.63671875,3.4528439044952393
46,18246.953125,599.63525390625,861.4697875976562,18246.953125,3.464718818664551,11472.8681640625,599.4599609375,853.6002807617188,11472.8681640625,3.328643321990967
47,14709.423828125,597.7031860351562,859.7957763671875,14709.423828125,3.3888490200042725,21831.6796875,598.8590698242188,852.7023315429688,21831.6796875,3.302037239074707
48,14759.02734375,597.123291015625,858.8231811523438,14759.02734375,3.3486337661743164,15250.6728515625,598.1593627929688,852.044677734375,15250.6728515625,3.2773001194000244
49,16782.732421875,595.0187377929688,856.6229858398438,16782.732421875,3.3009207248687744,44074.91796875,595.3839721679688,849.2803955078125,44074.91796875,3.174208164215088
50,19336.8828125,592.7264404296875,854.7340087890625,19336.8828125,3.185701608657837,10647.998046875,596.1065673828125,849.89111328125,10647.998046875,3.188340902328491
51,16860.65625,590.6442260742188,852.5446166992188,16860.65625,3.118788719177246,14832.341796875,595.9979248046875,849.8192138671875,14832.341796875,3.186676263809204
52,15217.015625,590.0068969726562,852.2879638671875,15217.015625,3.087880849838257,49188.296875,592.2509765625,846.33447265625,49188.296875,3.0581769943237305
53,13059.9609375,587.5466918945312,849.5614624023438,13059.9609375,3.013927698135376,2835.619140625,592.2860107421875,846.2174072265625,2835.619140625,3.0518288612365723
54,25545.3515625,586.10546875,848.12548828125,25545.3515625,2.9711225032806396,28381.677734375,589.5315551757812,843.6175537109375,28381.677734375,2.985708475112915
55,14591.65625,583.9603881835938,846.326416015625,14591.65625,2.9017786979675293,13995.0693359375,584.1181030273438,838.3286743164062,13995.0693359375,2.8122048377990723
56,19840.21875,582.0045776367188,844.1453857421875,19840.21875,2.8519155979156494,11757.2255859375,584.8076171875,838.6323852539062,11757.2255859375,2.8337254524230957
57,19502.80859375,579.7230224609375,841.6863403320312,19502.80859375,2.7912120819091797,26101.2734375,584.2282104492188,837.8484497070312,26101.2734375,2.8212971687316895
58,18204.603515625,579.2848510742188,841.2933959960938,18204.603515625,2.7744550704956055,9200.732421875,576.128173828125,829.3959350585938,9200.732421875,2.623055934906006
